Perfume Name,Brand,Category,Gender,Olfactory Family,Key Notes,When to Wear,Best Occasion,Longevity,Sillage,Year,Perfumer,Price (AED),Pros,Cons,Comment,Profession,Persona
Blue Talisman Extrait,Ex Nihilo,Best Niche 2025,Unisex,Woody Fruity,"Pear, Bergamot, Musks","Spring, Summer",Upscale Events,Long lasting,Strong,2025,Jordi Fernández,1600,Fresh and unique,Sharp to some,Sparkling futuristic fruity wood.,Tech CEO,Forward-thinking innovator.
Blanche Bête Ltd Ed.,Les Liquides Imaginaires,Best Niche 2025,Unisex,Floral Musk,"Milk, Tuberose, Vanilla","Winter, Spring",Cozy Dates,Long lasting,Strong,2025,Louise Turner,1100,Creamy lactonic scent,Lactic notes polarizing,Milky white-floral cloud.,Therapist,Gentle dreamer.
Bois Impérial Extrait,Essential Parfums,Best Niche 2025,Unisex,Woody Spicy,"Akigalawood, Basil",All Seasons,Office Wear,Eternal,Enormous,2024,Quentin Bisch,650,Unbeatable value,Linear,Crisp peppery woods.,Lawyer,Organized professional.
Rabbit,Zoologist,Best Niche 2025,Unisex,Gourmand,"Carrot, Biscuit, Hay","Spring, Autumn",Casual Brunches,Long lasting,Moderate,2024,Mackenzie Reilly,850,Highly unique,Too food-like,Hyper-realistic carrot cake picnic.,Chef,Quirky creative.
Narcotic Delight,Initio,Best Niche 2025,Unisex,Amber Vanilla,"Cherry, Cognac, Hedione",Winter,Evening Dates,Long lasting,Strong,2024,Initio,1300,Deeply alluring,High price,Dangerous boozy cherry trap.,Mixologist,Mysterious rebel.
Tubéreuse Astrale,Maison Crivelli,Best Niche 2025,Unisex,Floral,"Tuberose, Cinnamon",Autumn,Art Exhibitions,Eternal,Enormous,2024,Quentin Bisch,1050,Unique spicy tuberose,Polarizing,Cinematic spicy floral explosion.,Critic,Avant-garde trendsetter.
Deified Tony Iommi,Xerjoff,Best Niche 2025,Unisex,Leather,"Saffron, Leather, Rose",Winter,Rock Concerts,Eternal,Enormous,2024,Chris Maurice,1400,Dark and gothic,Unapologetically heavy,Gothic leather jacket with roses.,Rocker,Bold rugged individual.
Il Padrino,Sospiro,Best Niche 2025,Unisex,Amber Vanilla,"Whiskey, Caramel",Winter,Cigar Lounges,Long lasting,Strong,2025,Christian Provenzano,1300,Blended boozy gourmand,Similar to others,Syrupy whiskey and caramel.,Broker,Indulgent boss.
Vanille Havane Cuir,Les Indemodables,Best Niche 2025,Unisex,Leather,"Vanilla, Tobacco, Leather",Winter,Private Clubs,Long lasting,Strong,2025,Antoine Lie,1100,High-quality ingredients,Very dry,Realistic cigar lounge vanilla.,Sommelier,Refined connoisseur.
Alexandria II Anniversary,Xerjoff,Best Niche 2025,Unisex,Amber Woody,"Lavender, Rose, Oud",Winter,High-End Galas,Eternal,Enormous,2024,Chris Maurice,2500,Pure unadulterated luxury,Exorbitantly expensive,Ultimate statement of wealth.,Royalty,Elite powerful figure.
Delina,Parfums de Marly,Mens' Choice for Women,Female,Floral,"Turkish Rose, Litchi","Spring, Summer",Spring Weddings,Long lasting,Strong,2017,Quentin Bisch,1200,Universally loved,Imitated heavily,Pretty-princess tart rose.,Stylist,Hyper-feminine romantic.
Guidance 46,Amouage,Mens' Choice for Women,Unisex,Floral Fruity,"Pear, Hazelnut, Rose","Autumn, Winter",Formal Galas,Eternal,Enormous,2024,Quentin Bisch,1800,Mesmerizing trail,Can be cloying,Majestic creamy spicy powerhouse.,Business Owner,Authoritative elegant woman.
Libre Le Parfum,YSL,Mens' Choice for Women,Female,Amber Floral,"Lavender, Orange Blossom","Autumn, Winter",Date Nights,Long lasting,Strong,2022,Anne Flipo,700,Syrupy and seductive,Heavy for day,Boss-babe honeyed lavender.,Lawyer,Fierce leader.
Libre Intense,YSL,Mens' Choice for Women,Female,Amber Fougere,"Lavender, Vanilla","Autumn, Winter",Evening Events,Long lasting,Strong,2020,Anne Flipo,650,Perfect floral-vanilla balance,Less unique now,Warm golden aura of confidence.,Manager,Driven professional.
Hypnotic Poison,Dior,Mens' Choice for Women,Female,Amber Vanilla,"Almond, Jasmine, Vanilla",Winter,Intimate Dates,Long lasting,Strong,1998,Annick Menardo,600,Seductive classic,Reformulated weaker,Deadly spellbinding almond-vanilla.,Dancer,Sultry siren.
Oud Satin Mood,MFK,Mens' Choice for Women,Unisex,Amber Woody,"Violet, Rose, Oud",Winter,Black Tie Events,Eternal,Enormous,2015,Francis Kurkdjian,1300,Unbelievably rich,Can choke a room,Velvet cloak of sugared roses and oud.,Surgeon,Regal sophisticated individual.
Bianco Latte,Giardini Di Toscana,Mens' Choice for Women,Unisex,Amber Vanilla,"Caramel, Honey, Vanilla",Winter,Cozy Indoors,Long lasting,Strong,2023,Silvia Martinelli,600,Photorealistic gourmand,Very sweet,Comforting caramel milk.,Baker,Sweet warm person.
Black Opium,YSL,Mens' Choice for Women,Female,Amber Vanilla,"Coffee, Vanilla",Winter,Clubbing,Moderate,Moderate,2014,Nathalie Lorson,550,Mass-appealing,Ubiquitous,Classic sweet coffee party scent.,Bartender,Outgoing socialite.
Shalimar EDP,Guerlain,Mens' Choice for Women,Female,Amber Spicy,"Bergamot, Iris, Incense",Winter,Opera,Long lasting,Strong,1990,Jacques Guerlain,650,Queen of amber,Vintage opening,Smoky leathery classic.,Art Historian,Cultured beauty.
Hibiscus Mahajád,Maison Crivelli,Mens' Choice for Women,Unisex,Floral,"Hibiscus, Rose, Vanilla",All Seasons,Statement Events,Eternal,Enormous,2021,Quentin Bisch,1100,Incredible projection,Extremely loud,Neon-ruby rose and hibiscus.,Fashion Editor,Vibrant extrovert.
Althaïr,Parfums de Marly,Womens' Choice for Men,Male,Amber Vanilla,"Bourbon Vanilla, Praline","Autumn, Winter",Romantic Dinners,Long lasting,Strong,2023,H. Merati-Kashani,1100,Cozy and inviting,Too sweet for some,Luxuriously spiced vanilla cloud.,Pilot,Charming gentleman.
Dior Homme Parfum,Dior,Womens' Choice for Men,Male,Leather,"Leather, Iris, Rose",Winter,Black Tie Events,Eternal,Enormous,2014,François Demachy,750,Pinnacle of designer,Hard to find,Waxy leather-iris masterpiece.,CEO,Impeccably dressed alpha.
Bleu de Chanel EDP,Chanel,Womens' Choice for Men,Male,Woody Aromatic,"Grapefruit, Incense",All Seasons,Office Wear,Long lasting,Moderate,2014,Jacques Polge,650,Versatile crowd-pleaser,Common DNA,Ultimate blue fragrance.,Banker,Reliable professional.
Tobacco Vanille,Tom Ford,Womens' Choice for Men,Unisex,Amber Spicy,"Tobacco Leaf, Vanilla",Winter,Holiday Parties,Eternal,Enormous,2007,Olivier Gillotin,1400,Rich and festive,Heavy and thick,Wealthy gentleman's club.,Entrepreneur,Powerful presence.
Terre d'Hermès,Hermès,Womens' Choice for Men,Male,Woody Spicy,"Orange, Pepper, Vetiver","Spring, Autumn",Boardroom,Long lasting,Strong,2006,Jean-Claude Ellena,550,Standard for earthy citrus,Smells dirty to youth,Dirty orange and vetiver.,Architect,Mature capable leader.
Stronger With You Intensely,Armani,Womens' Choice for Men,Male,Amber Fougere,"Toffee, Cinnamon, Vanilla",Winter,Cozy Dates,Long lasting,Strong,2019,Cecile Matton,500,Mass-appealing gourmand,Very sweet,Warm caramelized hug.,IT Specialist,Friendly romantic guy.
Grand Soir,MFK,Womens' Choice for Men,Unisex,Amber,"Amber, Vanilla, Tonka",Winter,Galas,Eternal,Enormous,2016,Francis Kurkdjian,900,Pure regal amber,Linear,Glowing aura of wealth.,Diplomat,Polished sophisticated person.
Dior Homme Intense 2011,Dior,Womens' Choice for Men,Male,Woody Floral,"Iris, Ambrette, Cocoa",Winter,Formal Wear,Long lasting,Strong,2011,François Demachy,650,Masterpiece of powdery woods,Lipstick vibe,Perfectly tailored tuxedo.,Director,Cultured mannered gentleman.
Jazz Club,Maison Martin Margiela,Womens' Choice for Men,Male,Leather,"Rum, Tobacco, Vanilla","Autumn, Winter",Jazz Bars,Moderate,Moderate,2013,Alienor Massenet,550,Atmospheric and boozy,Average performance,Rum-soaked Brooklyn club.,Writer,Soulful romantic.
Imagination,Louis Vuitton,Womens' Choice for Men,Male,Citrus Aromatic,"Citron, Black Tea",Summer,Vacations,Long lasting,Strong,2021,Jacques Cavallier,1300,Best performing fresh tea,High price,Sparkling ultra-luxe citrus tea.,Real Estate,Clean-cut achiever.
Yum Boujee Marshmallow 81,Kayali,Sweetest Women's,Female,Gourmand,"Marshmallow, Strawberry","Spring, Winter",Girls' Night Out,Moderate,Moderate,2024,Mona Kattan,550,Fun and addictive,Lacks complexity,Fluffy sweet pink marshmallow.,Makeup Artist,Trendy socialite.
Eclaire,Lattafa,Sweetest Women's,Female,Gourmand,"Caramel, Milk, Sugar",Winter,Cozy Indoors,Long lasting,Strong,2024,Lattafa,150,Incredible Bianco Latte clone,Can be cloying,Creamy caramel dessert.,Baker,Comforting sweet person.
Vanilla Candy Rock Sugar 42,Kayali,Sweetest Women's,Female,Amber Vanilla,"Candied Pear, Bubblegum","Spring, Autumn",Casual Outings,Moderate,Moderate,2024,Mona Kattan,550,Deliciously sugary,Weak longevity,Nostalgic luxury candy store.,Content Creator,Playful youthful energy.
Devotion Intense,Dolce&Gabbana,Sweetest Women's,Female,Amber Vanilla,"Candied Lemon, Vanilla","Autumn, Winter",Cafes,Long lasting,Strong,2024,Olivier Cresp,650,Richer deeper version,Pastry lemon note,Warm baked lemon panettone.,Designer,Joyful inviting individual.
Marshmallow Blush,PARIS CORNER,Sweetest Women's,Unisex,Gourmand,"Marshmallow, Vanilla",Spring,Casual Wear,Moderate,Moderate,2025,Paris Corner,100,Budget gourmand,Simple profile,Soft pillowy marshmallow cloud.,Student,Innocent friendly person.
La Vie Est Belle Vanille Nude,Lancôme,Sweetest Women's,Female,Amber Vanilla,"Iris, Vanilla, Praline",Winter,Dates,Long lasting,Strong,2025,Lancôme,600,Smoother than original,Very heavy,Dense powdery sweet vanilla.,Manager,Classic confident woman.
Black Opium Over Red,YSL,Sweetest Women's,Female,Gourmand,"Cherry, Coffee, Vanilla","Autumn, Winter",Evening Dates,Moderate,Moderate,2024,Nathalie Lorson,650,Great cherry modernization,Fades fast,Seductive cherry-mocha.,PR Exec,Flirtatious rebel.
Her Intense 2024,Burberry,Sweetest Women's,Female,Fruity Gourmand,"Dark Berries, Benzoin",Autumn,Brunches,Long lasting,Strong,2024,Francis Kurkdjian,650,Luscious dark jam,Overwhelming,Syrupy strawberry blackberry jam.,Influencer,Sweet visible fashionista.
L'eau de Parfum,Cirque du Soleil,Sweetest Women's,Unisex,Gourmand,"Popcorn, Caramel, Butter",Winter,Theme Parks,Long lasting,Strong,2024,Alexis Grugeon,800,Unique popcorn note,Not serious,Smell of a luxury carnival.,Event Planner,Whimsical spirit.
Vanilla Voyage,MAISON ASRAR,Sweetest Women's,Unisex,Amber Vanilla,"Vanilla, Musk, Wood",All Seasons,Daily Wear,Moderate,Moderate,2025,Maison Asrar,120,Great layering tool,Basic,Simple effective sweet vanilla.,Freelancer,Easy-going individual.
Le Sel d'Issey,Issey Miyake,Freshest Men's,Male,Woody Aquatic,"Sea Salt, Vetiver",Summer,Beach Vacations,Moderate,Moderate,2024,Quentin Bisch,450,Refreshing marine,Fishy to some,Salty woody ocean wave.,Marine Biologist,Outdoorsy grounded individual.
Eros Energy,Versace,Freshest Men's,Male,Citrus Fougere,"Blood Orange, Lemon",Summer,Gym & Casual,Long lasting,Strong,2024,Antoine Maisondieu,480,Uplifting citrus blast,Synthetic drydown,Vibrant sparkling citrus bomb.,Athlete,Energetic confident guy.
Light Blue Pour Homme EDT,Dolce&Gabbana,Freshest Men's,Male,Citrus Aromatic,"Grapefruit, Bergamot",Summer,High-Heat Holidays,Moderate,Moderate,2025,Alberto Morillas,400,Classic DNA updated,Weak in winter,Crisp white linen on the coast.,Sailor,Relaxed wealthy traveler.
Buongiorno,Acqua di Parma,Freshest Men's,Unisex,Citrus,"Lemon, Mint, Petitgrain",Summer,Morning Walks,Moderate,Moderate,2025,Acqua di Parma,700,Natural and uplifting,Fleeting,Authentic Italian lemon grove.,Artist,Peaceful nature lover.
Allure Homme Sport Superleggera,Chanel,Freshest Men's,Male,Citrus Woody,"Mandarin, Cedar, Musk","Spring, Summer",Office,Long lasting,Moderate,2024,Olivier Polge,650,Classy and balanced,Pricey,Polished sporty gentleman.,Banker,Active successful professional.
Le Beau Paradise Garden,JPG,Freshest Men's,Male,Green Gourmand,"Coconut Water, Fig",Summer,Tropical Vacations,Long lasting,Strong,2024,Quentin Bisch,500,Fun tropical sweet,Clings in heat,Sweet green coconut piña colada.,DJ,Vacation-ready party guy.
MYSLF L'Absolu,YSL,Freshest Men's,Male,Woody Floral,"Orange Blossom, Woods",All Seasons,Clubbing,Long lasting,Strong,2025,Daniela Andrier,600,Mass appeal,Generic,Sleek soapy floral wood.,Promoter,Trendy urbanite.
Absolu Aventus,Creed,Freshest Men's,Male,Fruity Chypre,"Grapefruit, Pineapple",Summer,VIP Events,Long lasting,Strong,2025,J. Hérault,1800,Exceptional punchy citrus,Exorbitant,Darker king of fresh.,Investor,Refined alpha.
Amber Oud Aqua Dubai,Al Haramain,Freshest Men's,Unisex,Citrus Amber,"Citrus, Amber, Woods",Summer,Office,Long lasting,Strong,2024,Al Haramain,250,Great performance,Synthetic opening,Loud fresh Middle Eastern aquatic.,Engineer,Practical worker.
H24 Herbes Vives,Hermès,Freshest Men's,Male,Green Aromatic,"Fresh Herbs, Pear",Spring,Spring Days,Moderate,Moderate,2024,Christine Nagel,550,High-tech green freshness,Metallic undertone,Wet green urban garden.,Tech Worker,Clean futuristic guy.
Dior Homme Intense 2025,Dior,Best Iris Men's,Male,Woody Floral,"Iris, Ambrette, Cedar","Winter, Autumn",Opera,Long lasting,Strong,2025,Francis Kurkdjian,700,Benchmark powdery iris,Lipstick vibe,Chocolate-wood elegance.,Lawyer,Refined intellectual.
Gentleman Society EDP Ambrée,Givenchy,Best Iris Men's,Male,Oriental Woody,"Iris, Coffee, Narcissus","Autumn, Winter",Speakeasies,Long lasting,Strong,2025,Karine Dubreuil,550,Beautiful iris-coffee blend,Not versatile,Warm roasted take on iris.,Sommelier,Suave romantic.
Armani Code EDP 2024,Giorgio Armani,Best Iris Men's,Male,Amber Fougere,"Iris, Tonka, Cedar",Autumn,Evening Dates,Long lasting,Moderate,2024,Antoine Maisondieu,500,Smooth powdery appeal,Sits close,Sleek tonka evening scent.,Software Eng.,Understated put-together guy.
Dior Homme Parfum 2025,Dior,Best Iris Men's,Male,Leather Iris,"Iris, Leather, Rose",Winter,Formal Galas,Eternal,Enormous,2025,Francis Kurkdjian,750,Nuclear performance,Hard to find,Darkest expression of Iris-Leather.,Executive,Authoritative alpha.
Habit Rouge Spirit,Guerlain,Best Iris Men's,Male,Amber Woody,"Iris, Vanilla, Patchouli","Autumn, Winter",Classic Wear,Long lasting,Strong,2025,Delphine Jelk,650,Updates legendary classic,Retains vintage feel,Regal dusty iris and vanilla.,Historian,Elegant classic man.
Gentleman Society EDP Extrême,Givenchy,Best Iris Men's,Male,Woody Floral,"Iris, Peppermint, Coffee",Autumn,Clubbing,Long lasting,Strong,2024,Karine Dubreuil,550,Mint adds fresh touch,Can feel disjointed,Minty roasted coffee club scent.,Promoter,Sharp-dressed night owl.
502 Iris Cartagena,Bon Parfumeur,Best Iris Men's,Unisex,Woody Floral,"Iris, Rum, Vetiver","Spring, Autumn",Lounges,Moderate,Moderate,2024,Bon Parfumeur,350,Boozy unique iris,Average longevity,Creative rooty boozy iris.,Artist,Quirky bohemian soul.
Velvet Iris,Essential Parfums,Best Iris Men's,Unisex,Floral Musk,"Iris, Musk, Woods",Spring,Office,Moderate,Moderate,2025,Sophie Labbé,400,Clean soapy professional,Very subdued,Crisp clean iris water.,Accountant,Organized quiet professional.
His Confession,Lattafa,Best Iris Men's,Male,Amber Spicy,"Iris, Spices, Vanilla","Autumn, Winter",Dates,Long lasting,Strong,2024,Lattafa,150,Amazing DHI alternative,Synthetic drydown,Budget sweet powdery evening scent.,Student,Smooth confident guy.
Le Male Elixir Absolu,JPG,Best Iris Men's,Male,Amber Fougere,"Lavender, Iris, Honey",Winter,Clubbing,Eternal,Enormous,2025,Quentin Bisch,650,Nuclear projection,Extremely sweet,Syrupy honey-iris club bomb.,DJ,Fun attention-seeking partygoer.
Eau d'Ombré Leather,Tom Ford,Best Leather,Male,Leather,"Leather, Amber, Cardamom","Autumn, Winter",Upscale Bars,Long lasting,Strong,2024,Sonia Constant,850,Smoother Ombre Leather,Lacks raw edge,Plush suede with sweet amber.,Producer,Rugged self-assured man.
Babycat Raw Bourbon,YSL,Best Leather,Unisex,Amber Spicy,"Suede, Vanilla, Bourbon",Winter,Lounges,Long lasting,Strong,2025,Dominique Ropion,1200,Dark sensual vanilla-leather,Hard to find,Smoky leathery masterpiece.,Musician,Mysterious trendsetter.
Bottled Absolu,Hugo Boss,Best Leather,Male,Woody Amber,"Leather, Incense, Myrrh",Winter,Executive Dinners,Long lasting,Strong,2024,Annick Menardo,550,Deep smoky masculine,Very dark profile,Commanding smoky leather.,Finance Exec,Serious corporate leader.
L'Homme Idéal Parfum,Guerlain,Best Leather,Male,Amber Woody,"Leather, Almond, Plum","Autumn, Winter",Romantic Dinners,Long lasting,Strong,2024,Delphine Jelk,650,Cherry-almond leather,Can lean sweet,Boozy amaretto leather dream.,Architect,Sensual intellectual.
Falcon Leather Extrait,Matiere Premiere,Best Leather,Unisex,Leather,"Saffron, Birch Tar",Winter,Niche Events,Eternal,Enormous,2024,Aurélien Guichard,1300,Ultra-realistic raw smoke,Too intense for office,Tar-heavy leather for aficionados.,Biker,Rebellious individualistic spirit.
Cuir Intense,Guerlain,Best Leather,Unisex,Leather,"Leather, Osmanthus, Oud",Winter,Formal,Eternal,Enormous,2024,Thierry Wasser,900,Beast-mode performance,Animalic,Rugged harsh desert leather.,Equestrian,Bold untamed outdoorsman.
Deified Tony Iommi Parfum,Xerjoff,Best Leather,Unisex,Leather,"Saffron, Leather, Rose",Winter,Concerts,Eternal,Enormous,2024,Chris Maurice,1400,Dark gothic rich,Heavy,Gothic jacket steeped in roses.,Rocker,Bold unapologetic rocker.
Forever Wanted Elixir,Azzaro,Best Leather,Male,Amber Spicy,"Leather, Spices, Woods","Autumn, Winter",Clubbing,Long lasting,Strong,2025,Azzaro,500,Mass-appealing,Generic,Sweet spicy leather.,Sales Rep,Talkative fun guy.
Cuir InfraRouge,Maison Crivelli,Best Leather,Unisex,Leather,"Leather, Raspberry",Autumn,Art Galleries,Long lasting,Strong,2024,Jordi Fernández,1050,Amazing fruit-dark contrast,Pricey,Neon-raspberry spilled on black leather.,Photographer,Artsy edgy creative.
Vanille Havane Cuir,Les Indemodables,Best Leather,Unisex,Leather,"Leather, Vanilla, Tobacco",Winter,Private Clubs,Long lasting,Strong,2025,Antoine Lie,1100,High-quality realistic,Very dry,Cigar lounge wrapped in vanilla.,Sommelier,Refined connoisseur.
Aventus,Creed,Best Men's All Time,Male,Fruity Chypre,"Pineapple, Birch, Musk",All Seasons,Power Lunches,Long lasting,Strong,2010,J. Hérault,1300,King of men's niche,Batch inconsistencies,Crisp smoky pineapple success.,Entrepreneur,Ambitious driven alpha.
